
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 53
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 63
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 64
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 51
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 46
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 6
 nvStInst.exe :[2019-07-27 22:47:39,946][Thread : 00000668] : NVSTINST_INFO : 8
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_ERROR : 7
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : WIN_ERROR : 183
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 10
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 9
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 35
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 41
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 29
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_ERROR : 15
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 34
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 20
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : WIN_ERROR : 183
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 43
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : WIN_ERROR : 183
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_ERROR : 7
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : WIN_ERROR : 183
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 47
 nvStInst.exe :[2019-07-27 22:47:39,961][Thread : 00000668] : NVSTINST_INFO : 21
 nvStInst.exe :[2019-07-27 22:47:39,993][Thread : 00000668] : NVSTINST_INFO : 24
 nvStInst.exe :[2019-07-27 22:47:43,009][Thread : 00000668] : NVSTINST_INFO : 25
 nvStInst.exe :[2019-07-27 22:47:43,009][Thread : 00000668] : NVSTINST_INFO : 22
 nvStInst.exe :[2019-07-27 22:47:43,556][Thread : 00000668] : NVSTINST_INFO : 71
