[04/24/2020 - 08:02:02PM] Environmental VFX log opened (PC-64)
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF018B61)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF02E0C5)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF02AD14)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF01E0B2)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF01C922)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF0170C0)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF01A97F)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF02DFE6)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF016738)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF015BE6)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF014189)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF0166A7)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF016DE4)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF01981B)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF0178F5)>] Explosion Detected...
[04/24/2020 - 08:02:02PM] [Metro:Gear:DetectExplosion < (FF016396)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF025EBA)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF025EDF)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF0229EF)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF023123)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01F683)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01C119)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF00B899)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01F1E8)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF084E78)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF023DF8)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01FE29)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF02402E)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF018AA1)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF00E82C)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF00C0E0)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF00C0D9)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01FDB5)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF028999)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF029655)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF02016B)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF0779C2)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF088586)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF0A5D85)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF0AC598)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF019474)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01C021)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01B027)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF01A0AB)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF019AAA)>] Explosion Detected...
[04/24/2020 - 08:11:15PM] [Metro:Gear:DetectExplosion < (FF0219E4)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF021A3E)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF021AF3)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF01DAFC)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF019FFC)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF02037F)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF022ABF)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF02C139)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF02D592)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF032C3D)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF02A1F9)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF032C83)>] Explosion Detected...
[04/24/2020 - 08:12:32PM] [Metro:Gear:DetectExplosion < (FF032E32)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF028999)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF0779C2)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF0AC598)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF029655)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF0A5D85)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF01FDB5)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF02016B)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF088586)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF01A0AB)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF01B027)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF01C021)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF0219E4)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF019AAA)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF019474)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF01DD54)>] Explosion Detected...
[04/24/2020 - 08:19:50PM] [Metro:Gear:DetectExplosion < (FF021A6D)>] Explosion Detected...
[04/24/2020 - 08:19:59PM] [Metro:Gear:DetectExplosion < (FF00B899)>] Explosion Detected...
